"PGA1" "stnm" "stlon" "stlat" "Repi" "siteClass" "AVS30" "event.num" "mag" "eq.type" "depth" "resids"
0.128770393107026 "NGNH18" 137.595 35.9324 324.218826 "soft-soil" 379 20040408020.69 5.6 "intra-plate" 49 0.1221822807194
0.214080248846876 "IWTH22" 141.3015 39.334 327.023648 "rock" 532 20040408020.69 5.6 "intra-plate" 49 -0.0291494095596135
-0.228633029142219 "AKTH03" 140.1283 39.2223 327.077247 "medium-soil" 320 20040408020.69 5.6 "intra-plate" 49 -0.463449670442162
-0.0538249072252512 "NGNH23" 137.6105 35.6056 331.12336 "rock" 524 20040408020.69 5.6 "intra-plate" 49 -0.0521414713524481
0.210474762806649 "IWTH19" 141.0001 39.4559 340.568579 "rock" 482 20040408020.69 5.6 "intra-plate" 49 0.0339724288409514
0.43142407864862 "IWTH21" 141.9336 39.4734 349.033359 "rock" 521 20040408020.69 5.6 "intra-plate" 49 0.148626731082986
-0.200433400512966 "AKTH16" 140.3481 39.545 357.275465 "soft-soil" 375 20040408020.69 5.6 "intra-plate" 49 -0.260012454201226
0.288883654861898 "IWTH15" 141.0929 39.6148 357.982017 "soft-soil" 337 20040408020.69 5.6 "intra-plate" 49 0.0605288814005403
0.107571165986023 "IWTH16" 140.9465 39.6436 361.598439 "rock" 534 20040408020.69 5.6 "intra-plate" 49 0.033657692272723
0.447112428027403 "IWTH02" 141.3826 39.825 381.806488 "hard-soil" 389 20040408020.69 5.6 "intra-plate" 49 0.327095953327297
-0.236422275533355 "AKTH01" 140.579 39.8147 383.464677 "rock" 475 20040408020.69 5.6 "intra-plate" 49 -0.11702505813325
0.191364370501156 "IWTH01" 141.3423 40.2383 427.488009 "rock" 438 20040408020.69 5.6 "intra-plate" 49 0.430405465789805
-0.0763990530247839 "IWTH06" 141.1709 40.2611 429.705274 "medium-soil" 431 20040408020.69 5.6 "intra-plate" 49 0.109286762674447
-0.36039200496241 "IWTH07" 141.5709 40.2705 432.284487 "hard-soil" 395 20040408020.69 5.6 "intra-plate" 49 -0.219547384206426
